original,alt1,alt2,alt3,alt4
This text is attacking mormons.,This text is criticizing Mormons.,This text is condemning Mormons.,This text is speaking negatively about Mormons.,This text is attacking mormons.
The author of this text opposes voter IDs.,The writer of this article is against voter identification requirements.,The creator of this document does not support the use of voter IDs.,The person who wrote this piece is opposed to voter ID laws.,The author of this text opposes voter IDs.
The author of this text opposes the child tax credit.,The writer of this article is against the child tax credit.,The creator of this document disapproves of the child tax credit.,The person who wrote this text is not in favor of the child tax credit.,The author of this text opposes the child tax credit.
This text is about an air or drone strike.,This passage discusses an aerial or drone attack.,This article covers a strike carried out by aircraft or drones.,This piece focuses on an air raid or drone assault.,This text is about an air or drone strike.
This text is about an armed clash.,This passage discusses a violent confrontation.,This article covers a conflict involving weapons.,This piece describes a skirmish with arms.,This text is about an armed clash.
This text is about a violent demonstration or riot.,This passage discusses a turbulent protest or riot.,This article covers a chaotic demonstration or riot.,This writing describes a violent protest or riot.,This text is about a violent demonstration or riot.
The author of this text believes we should abolish capital punishment.,The writer of this passage thinks we ought to eliminate the death penalty.,The creator of this document argues that capital punishment should be done away with.,The person who wrote this text advocates for the abolition of the death penalty.,The author of this text believes we should abolish capital punishment.
The author of this text believes we should legalize sex selection.,The writer of this article advocates for the legalization of sex selection.,The creator of this content supports making sex selection legal.,The person who wrote this piece thinks that sex selection should be legalized.,The author of this text believes we should legalize sex selection.
The author of this text believes we should fight for the abolition of nuclear weapons.,The writer of this piece advocates for the elimination of nuclear arms.,The creator of this document supports the campaign to eradicate nuclear weapons.,The person who penned this article argues for the complete removal of nuclear armaments.,The author of this text believes we should fight for the abolition of nuclear weapons.
The author of this text believes we should abolish zoos.,The writer of this piece thinks that zoos should be eliminated.,The creator of this article advocates for the closure of zoos.,The person who wrote this text supports the idea of getting rid of zoos.,The author of this text believes we should abolish zoos.
The author of this text believes we should subsidize embryonic stem cell research.,The writer of this article thinks funding for embryonic stem cell research is necessary.,The creator of this document advocates for financial support of embryonic stem cell research.,The person who wrote this text supports subsidizing embryonic stem cell research.,The author of this text believes we should subsidize embryonic stem cell research.
The author of this text supports term limits on the legislative branch of government.,The writer of this article advocates for term limits on lawmakers.,The creator of this document endorses term restrictions for members of the legislative branch.,The person who composed this text is in favor of imposing term limits on legislators.,The author of this text supports term limits on the legislative branch of government.
The author of this text supports a mandatory retirement age.,The writer of this passage advocates for a compulsory retirement age.,The creator of this document endorses an obligatory retirement age.,The person who composed this text is in favor of enforcing a mandatory retirement age.,The author of this text supports a mandatory retirement age.
The author of this text believes that bribery is sometimes acceptable.,The writer of this passage thinks that bribery can occasionally be justified.,The creator of this document holds the view that bribery is permissible in certain situations.,The person who wrote this text considers that there are times when bribery is acceptable.,The author of this text believes that bribery is sometimes acceptable.
The author of this text opposes term limits on the legislative branch of government.,The writer of this passage is against imposing term limits on legislators.,The creator of this document disagrees with the idea of term limits for members of the legislative branch.,The person who wrote this text is not in favor of term limits for lawmakers.,The author of this text opposes term limits on the legislative branch of government.
The author of this text opposes deregulating the free market.,The writer of this document is against removing regulations from the free market.,The creator of this piece is opposed to the deregulation of the free market.,The person who wrote this text disagrees with the idea of deregulating the free market.,The author of this text opposes deregulating the free market.
The author of this text opposes a mandatory retirement age.,The writer of this document is against enforcing a compulsory retirement age.,The creator of this piece disagrees with the idea of a mandatory retirement age.,The person who wrote this text is opposed to the imposition of a fixed retirement age.,The author of this text opposes a mandatory retirement age.
The author of this text opposes abolishing intellectual property rights.,The writer of this document is against the elimination of intellectual property rights.,The creator of this content is opposed to getting rid of intellectual property rights.,The author of this piece disagrees with the idea of abolishing intellectual property rights.,The author of this text opposes abolishing intellectual property rights.
This text advocates for violence against women.,This text promotes violence towards women.,This text encourages violent acts against women.,This text supports the idea of violence against women.,This text advocates for violence against women.
This text advocates for violence against asians.,This text promotes violence against Asians.,This text encourages violent actions towards Asians.,This text supports aggression against Asians.,This text advocates for violence against asians.
This text is attacking men.,This text is criticizing men.,This text is targeting men.,This text is offensive towards men.,This text is attacking men.
This text is defending men.,This text is advocating for men.,This text is supporting men.,This text is standing up for men.,This text is defending men.
This text is attacking jews.,This text is criticizing Jews.,This text is hostile towards Jews.,This text is targeting Jews with negative remarks.,This text is attacking jews.
This text is defending jews.,This text is advocating for Jews.,This text is supporting Jewish people.,This text is standing up for Jews.,This text is defending jews.
This text is defending lesbians.,This text is advocating for lesbians.,This text is supporting lesbians.,This text is standing up for lesbians.,This text is defending lesbians.
This text is attacking atheists.,This text is criticizing atheists.,This text is condemning atheists.,This text is targeting atheists.,This text is attacking atheists.
This text is defending atheists.,This text is advocating for atheists.,This text is supporting atheists.,This text is standing up for atheists.,This text is defending atheists.
This text is attacking transgender women.,This text is criticizing transgender women.,This text is targeting transgender women.,This text is hostile towards transgender women.,This text is attacking transgender women.
The author of this text supports raising the minimum wage.,The writer of this article advocates for an increase in the minimum wage.,The creator of this content is in favor of raising the minimum wage.,The person who wrote this piece endorses a higher minimum wage.,The author of this text supports raising the minimum wage.
The author of this text opposes raising the minimum wage.,The writer of this article is against increasing the minimum wage.,The person who wrote this piece disagrees with raising the minimum wage.,The creator of this content is opposed to a higher minimum wage.,The author of this text opposes raising the minimum wage.
The author of this text supports the child tax credit.,The writer of this article advocates for the child tax credit.,The creator of this document endorses the child tax credit.,The person who wrote this text is in favor of the child tax credit.,The author of this text supports the child tax credit.
This text is about chemical weapon use.,This document discusses the use of chemical weapons.,This article covers the topic of chemical weapon deployment.,This passage examines the utilization of chemical weapons.,This text is about chemical weapon use.
This text describes an armed assault,This passage details a violent attack involving weapons.,This document outlines an incident of armed aggression.,This narrative explains a confrontation with firearms.,This text describes an armed assault
This text describes an assassination,This passage details a murder.,This document outlines a killing.,This script narrates a homicide.,This text describes an assassination
This text describes a bombing or explosion,This passage details a bombing or blast.,This document outlines an explosion or bombing.,This narrative recounts an explosive event or bombing.,This text describes a bombing or explosion
This text describes a facility or infrastructure attack,This passage outlines an assault on a building or infrastructure.,This document details an attack on a facility or infrastructure.,This text explains an incident involving an infrastructure or facility attack.,This text describes a facility or infrastructure attack
This text describes a hijacking,This passage details a hijacking.,This document outlines a hijacking.,This narrative explains a hijacking.,This text describes a hijacking
This text describes a hostage taking (barricade incident),This document details a situation involving a barricaded hostage.,This passage outlines an incident where hostages were taken and barricaded.,This narrative explains a scenario of a barricade event with hostages.,This text describes a hostage taking (barricade incident)
This text describes a hostage taking (kidnapping),This passage details a kidnapping incident.,This document outlines a hostage situation.,This article explains an abduction event.,This text describes a hostage taking (kidnapping)
This text describes an unarmed assault,This passage details a non-weaponized attack.,This document outlines an assault without weapons.,This script explains an attack carried out without arms.,This text describes an unarmed assault
This text advocates for violence against the middle aged.,This writing promotes aggression towards individuals in their middle years.,This document encourages violent actions against people who are middle-aged.,This passage supports hostility directed at those in their middle age.,This text advocates for violence against the middle aged.
The event described in this text is a strike.,The occurrence detailed in this passage is a strike.,The situation outlined in this document is a strike.,The incident mentioned in this text is a strike.,The event described in this text is a strike.
This text is about finance and financial sector.,This document discusses finance and the financial industry.,The content here pertains to finance and the finance sector.,This writing covers topics related to finance and the financial field.,This text is about finance and financial sector.
This text advocates for violence against lesbians.,This text promotes violence towards lesbians.,This text encourages violent actions against lesbians.,This text supports aggression against lesbians.,This text advocates for violence against lesbians.
The author of this text believes we should subsidize student loans.,The writer of this piece thinks that student loans should be subsidized.,The creator of this document advocates for the subsidization of student loans.,The person who wrote this article supports the idea of subsidizing student loans.,The author of this text believes we should subsidize student loans.
The author of this text believes we should abolish intellectual property rights.,The writer of this document argues for the elimination of intellectual property rights.,The creator of this content advocates for the removal of intellectual property protections.,The person behind this text supports doing away with intellectual property laws.,The author of this text believes we should abolish intellectual property rights.
This text is defending the visually impaired.,This passage advocates for the rights of the visually impaired.,This article supports individuals who are visually impaired.,This content champions the cause of the visually impaired.,This text is defending the visually impaired.
The author of this text does not believe that open primaries are the most effective method of selecting candidates for elections.,The writer of this article is skeptical that open primaries are the best way to choose candidates for elections.,The person who wrote this piece doubts that open primaries are the optimal approach for candidate selection in elections.,The author of this document questions whether open primaries are the most efficient means of selecting electoral candidates.,The author of this text does not believe that open primaries are the most effective method of selecting candidates for elections.
This text is about grenade use.,This document discusses the use of grenades.,This article covers how grenades are utilized.,This passage explains the application of grenades.,This text is about grenade use.
The author of this text believes we should adopt an austerity regime.,The writer of this passage thinks we ought to implement an austerity plan.,The creator of this content advocates for the adoption of an austerity policy.,The person who penned this document argues in favor of embracing an austerity program.,The author of this text believes we should adopt an austerity regime.
The author of this text believes we should adopt libertarianism.,The writer of this piece argues in favor of adopting libertarianism.,The creator of this document advocates for the adoption of libertarianism.,The person who wrote this text supports the idea that we should embrace libertarianism.,The author of this text believes we should adopt libertarianism.
This text advocates for violence against pacific islanders.,This text promotes aggression towards people from the Pacific Islands.,This text encourages violent actions against individuals from the Pacific Islands.,This text supports hostility towards Pacific Islander communities.,This text advocates for violence against pacific islanders.
The author of this text believes in the use of affirmative action.,The writer of this document supports affirmative action.,The creator of this piece advocates for the implementation of affirmative action.,The person who wrote this text is in favor of affirmative action.,The author of this text believes in the use of affirmative action.
The author of this text supports voter IDs.,The writer of this document advocates for voter identification.,The creator of this article endorses the use of voter IDs.,The person who wrote this text is in favor of voter identification requirements.,The author of this text supports voter IDs.
The author of this text does not believe that democratic governments should require voters to present photo identification at the polling station.,The writer of this passage is against the idea that democratic governments should mandate voters to show photo ID at the polls.,The creator of this document opposes the requirement for voters to present photo identification in democratic elections.,The person who wrote this text disagrees with democratic governments enforcing the need for voters to provide photo ID at voting locations.,The author of this text does not believe that democratic governments should require voters to present photo identification at the polling station.
This text advocates for violence against men.,This text promotes violence towards men.,This text encourages acts of violence against men.,This text supports violent actions against men.,This text advocates for violence against men.
This text advocates for violence against native americans.,This text promotes violence towards indigenous people.,This text encourages violent actions against Native Americans.,This text supports aggression against Native American communities.,This text advocates for violence against native americans.
The author of this text believes atheism is the only way.,The writer of this piece holds that atheism is the sole path.,The creator of this content asserts that atheism is the exclusive way.,The person behind this text is convinced that atheism is the only option.,The author of this text believes atheism is the only way.
The author of this text supports limiting the right to bear arms.,The writer of this article advocates for restricting the right to bear arms.,The creator of this document is in favor of limiting gun ownership rights.,The person who wrote this piece endorses curbing the right to own firearms.,The author of this text supports limiting the right to bear arms.
This text advocates for violence against bisexual people.,This text promotes violence towards bisexual individuals.,This text encourages acts of violence against people who are bisexual.,This text supports violent actions against bisexual persons.,This text advocates for violence against bisexual people.
This text is about crime and law enforcement.,This passage discusses criminal activity and policing.,This article covers topics related to crime and law enforcement.,This document addresses issues concerning crime and the justice system.,This text is about crime and law enforcement.
This text advocates for violence against people for their place of origin.,This text promotes aggression towards individuals based on their birthplace.,This text encourages hostility against people due to their country of origin.,This text supports violent actions towards individuals because of where they come from.,This text advocates for violence against people for their place of origin.
This text is defending people for their place of origin.,This text is advocating for individuals based on their birthplace.,This text is supporting people due to their geographical origins.,This text is standing up for individuals because of where they come from.,This text is defending people for their place of origin.
The event described in this text is extra-government violence.,The incident detailed in this passage involves violence outside of government control.,The narrative in this document pertains to non-governmental acts of violence.,The situation outlined in this text refers to violence that is not sanctioned by the government.,The event described in this text is extra-government violence.
The author of this text supports never having children.,The writer of this piece advocates for a child-free lifestyle.,The creator of this content endorses the idea of not having kids.,The person behind this text is in favor of remaining childless.,The author of this text supports never having children.
This text is about a protest with excessive force.,This passage discusses a demonstration where excessive force was used.,This article covers a protest that involved the use of excessive force.,This text describes a rally marked by the application of excessive force.,This text is about a protest with excessive force.
This text is attacking the hearing impaired.,This text is offensive to people with hearing impairments.,This text is derogatory towards the hearing impaired.,This text is disparaging to those who are hearing impaired.,This text is attacking the hearing impaired.
This text advocates for violence against jews.,This text promotes violence against Jewish people.,This text encourages acts of violence towards Jews.,This text supports violent actions against Jews.,This text advocates for violence against jews.
This text is defending latinos.,This text is advocating for Latinos.,This text is supporting Latinos.,This text is standing up for Latinos.,This text is defending latinos.
The author of this text does not believe all nations have a right to nuclear weapons.,The writer of this passage does not think every country should possess nuclear arms.,The creator of this document does not support the idea that all states are entitled to nuclear weapons.,The person who wrote this text does not agree that all nations are justified in having nuclear arsenals.,The author of this text does not believe all nations have a right to nuclear weapons.
The author of this text does not believe that it is sometimes right for the government to restrict freedom of speech.,The writer of this passage does not think it is ever acceptable for the government to limit freedom of speech.,The creator of this document does not support the idea that the government should occasionally curb freedom of speech.,The person who wrote this text does not agree that it is ever justifiable for the government to impose restrictions on freedom of speech.,The author of this text does not believe that it is sometimes right for the government to restrict freedom of speech.
The author of this text supports passing the American Jobs Act.,The writer of this document advocates for the approval of the American Jobs Act.,The creator of this piece endorses the passage of the American Jobs Act.,The person who wrote this text is in favor of enacting the American Jobs Act.,The author of this text supports passing the American Jobs Act.
The author of this text does not believe that Israel should lift the blockade of Gaza.,The writer of this article is against the idea of Israel removing the blockade on Gaza.,The person who wrote this text thinks that Israel should maintain the blockade of Gaza.,The author of this piece is of the opinion that Israel should keep the blockade on Gaza in place.,The author of this text does not believe that Israel should lift the blockade of Gaza.
The author of this text believes we should end affirmative action.,The writer of this piece thinks that affirmative action should be terminated.,The creator of this document argues for the cessation of affirmative action.,The person who wrote this article advocates for the discontinuation of affirmative action.,The author of this text believes we should end affirmative action.
The author of this text does not believe that bribery is sometimes acceptable.,The writer of this passage does not think that bribery is ever justifiable.,The creator of this document does not consider bribery to be acceptable under any circumstances.,The person who wrote this text does not see any situation where bribery is permissible.,The author of this text does not believe that bribery is sometimes acceptable.
This text is about animals.,This passage discusses animals.,The content here pertains to animals.,This writing focuses on animals.,This text is about animals.
