text,entailment,hypothesis,task,llama,base_nli,large_nli,base_debate,large_debate,base_modern,large_modern
"Moreover , the already born were empowered to deny , at will , the rights of persons still in the womb .",1,the author of this text supports abortion,stance,0,1,1,1,1,1,1
"Also , let 's not forget that there are two parents of every aborted child .",1,the author of this text supports abortion,stance,1,1,1,1,1,1,1
"But at least "" pro-choice "" politicians who believe the fetus is not a child are being morally consistent .",1,the author of this text opposes abortion,stance,1,0,0,0,0,1,0
"It does not appear in the DSM-V ( the handbook of mental health ) , and the link between abortion and mental health problems is dismissed by organisations tasked with mental health protection including the American Psychological Association , the American Psychiatric Association and the Royal College of Obstetricians and Gynaecologists .",1,the author of this text supports abortion,stance,0,1,1,1,0,1,1
"Without legalized abortion , a lot more women will become parents whether or not they want to be and whether or not they 're ready to be .",0,the author of this text supports abortion,stance,0,1,1,1,0,0,0
"When we belittle the developing child in the womb , a scientific reality that most pro-choice advocates have come to admit , we belittle and distort that child 's mother .",1,the author of this text supports abortion,stance,1,1,1,1,1,1,1
Banning abortion risks illegal abortions .,1,the author of this text opposes abortion,stance,1,0,1,1,1,1,1
"They argue that a human fetus is a human being with a right to live , so abortion is similar to murder .",1,the author of this text supports abortion,stance,1,1,1,1,1,1,1
"That 's why even if pro-life advocates were hypocritical in this regard ( though I personally do n't know any abortion opponents who champion other sorts of murder ) that would say nothing about the main questions at hand : 1 ) when does human personhood begin and 2 ) should the law protect persons at all ages , locations , and stages of development .",0,the author of this text opposes abortion,stance,1,0,1,1,0,0,0
"Access to legal , professionally-performed abortions reduces maternal injury and death caused by unsafe , illegal abortions .",1,the author of this text opposes abortion,stance,1,1,1,1,1,1,1
"Source : Ted Cruz , "" Sen. Cruz Statement on 40th Anniversary of Roe v. Wade , "" cruz.senate.gov , Jan. 22 , 2013 [ Editor 's Note : In addition to the above CON statement , Ted Cruz also made the following CON statement , as quoted in an Oct. 31 , 2012 Houston Chronicle article , "" Ted Cruz Says Questions about Mourdock Rape Comment Are ' An Unfortunate Distraction from the Issues that Matter , ' "" available at blog.chron.com : "" I think that every human life is a precious gift from God and should be protected in law from conception until natural death . "" ]",1,the author of this text supports abortion,stance,1,1,1,1,1,1,1
Abortion should not be considered murder if the fetus is not self-sustaining and requires the mother ’s body and physical resources to survive .,1,the author of this text opposes abortion,stance,1,0,1,1,1,1,1
""" Abortion promotes a culture in which human life is disposable .",1,the author of this text supports abortion,stance,1,1,1,1,1,1,1
"Pro-life supporters argue that abortion is morally wrong on the basis that a fetus is an innocent human person or because a fetus is a potential life that will , in most cases , develop into a fully functional human being .",1,the author of this text supports abortion,stance,1,1,1,1,1,1,1
"I suppose I also take this topic personally , i.e. some decades ago my mother could have violated my human rights and "" exercised "" her right to choose .",0,the author of this text opposes abortion,stance,1,0,0,1,0,1,1
"Life is life , whether it s outside the womb or not .",0,the author of this text opposes abortion,stance,1,0,0,0,0,0,0
"And that pseudo-scientific argument — that an embryo is a person because it contains the DNA of a potential person — is true of any human cell , and certainly true of the countless fertilized eggs that , in the natural course of reproduction , are destroyed before they can develop .",1,the author of this text opposes abortion,stance,1,0,1,0,1,0,1
"The second virtue of Pollitt ’s book is that — with the help of some arguments from the late Ronald Dworkin , in particular — it takes seriously , and seriously refutes , the metaphysical arguments that claim some ethical seriousness in the view that a fertilized egg is equivalent to a human being .",1,the author of this text opposes abortion,stance,1,0,1,0,1,0,1
Spontaneous abortion stacks the odds in favor of healthy babies being born to healthy moms who will be able to nurse them .,1,the author of this text opposes abortion,stance,1,1,1,1,1,0,1
Anyone who even thinks about having an abortion is mentally messed up because that is killing someone 's life that could happen .,0,the author of this text opposes abortion,stance,0,0,0,0,0,0,0
Abortion has killed about 56 million PEOPLE !,1,the author of this text supports abortion,stance,1,1,1,1,1,1,1
"If you ca n't accept infanticide , you must oppose abortion .",1,the author of this text supports abortion,stance,1,1,1,1,1,1,1
"According to John R. Lott Jr. , PhD , "" when states passed concealed carry laws during the 19 years we studied ( 1977 to 1995 ) , the number of multiple-victim public shootings declined by 84 % .",1,the author of this text opposes gun control,stance,1,1,1,0,0,1,1
Education Is The Answer More harsh gun control laws are not needed .,0,the author of this text opposes gun control,stance,0,1,0,0,0,0,0
"Such a situation would lead to more people walking around with untreated , undiagnosed , and undisclosed illnesses ; these people would not be on the list and would be able to buy guns .",1,the author of this text supports gun control,stance,1,1,1,0,0,0,0
"The oft quoted phrase of , “ If we make guns illegal , only the criminals will have them , ” does have some measure of truth to it .",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"Powerful guns have flooded our streets and criminals have the ability to meet the police with armor-piercing ammo , body armor and assault rifles .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"But for Kopel , the rigor , or laxity , of the permitting process from state to state is not his principal concern , because he believes that in most cases , the government has no right to interfere with an adult ’s decision to buy or carry a weapon .",0,the author of this text opposes gun control,stance,0,1,0,0,0,0,0
"If only everybody around was armed , an ordinary civilian could take out a mass killer before he got too far .",0,the author of this text opposes gun control,stance,1,1,0,0,0,1,0
"The Christian Science Monitor reported that "" the number of incidents in which concealed-gun carriers kill innocent people is a fraction of 1 percent of all gun-related homicides . """,1,the author of this text opposes gun control,stance,1,1,1,1,0,1,1
The Constitution says I have a right to own guns .,0,the author of this text opposes gun control,stance,1,0,0,0,0,0,0
"When high-capacity magazines were used in mass shootings , the death rate rose 63 % and the injury rate rose 156 % .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
Gross believes that closing the gun-show loophole would be both extremely effective and a politically moderate and achievable goal .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"The argument for gun control is , essentially : human life is valuable , killing humans is wrong , guns kill humans , so , limit access to guns to protect human life .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"“ We define gun control real simple — that ’s hitting what you aim at , ” Senator Ted Cruz says with a grin as the industry ’s concealed-carry campaign to arm more and more Americans advances from barrooms to college campuses .",1,the author of this text opposes gun control,stance,1,1,0,1,1,1,1
Gun control laws only restrict access to responsible gun ownership .,1,the author of this text supports gun control,stance,0,1,1,1,1,1,1
"The first time the Court upheld an individual rights interpretation ( that individuals have a Constitutional right to own a gun regardless of militia service ) of the Second Amendment was the June 26 , 2008 US Supreme Court ruling in DC v. Heller .",1,the author of this text opposes gun control,stance,1,0,1,0,0,0,0
"“ It ’s become clear that no mass shooting , no matter how big or bloody , will inspire Republicans to put children and innocent Americans over the interests of the N.R.A. , ” he said in endorsing President Obama ’s gun proposals .",1,the author of this text opposes gun control,stance,0,1,1,1,1,1,1
The first side would argue that the Constitution has made it clear how this country should handle guns and its gun owners .,1,the author of this text supports gun control,stance,1,1,1,0,1,1,1
"Such acceptance and compliance , however , WILL NEVER HAPPEN in this country because HISTORY HAS SHOWN THAT GUN REGISTRATION ALWAYS LEADS TO GUN CONFISCATION .",1,the author of this text supports gun control,stance,1,1,1,1,1,0,1
"To state that a creature , who is willing to violate Malum In Se through the act of murder , robbery , rape , etc. , will be dissuaded from using a firearm during the aforementioned acts by a new Malum Prohibitum statute is the height of childish naivete and blind , emotionally driven foolishness .",0,the author of this text opposes gun control,stance,0,0,0,1,0,0,0
We as a society would be better off if they had less access to guns .,1,the author of this text opposes gun control,stance,0,1,1,1,1,1,1
Mandating the registration of the mentally ill while prohibiting the registration of dangerous weapons is simply hypocritical and indicative of a person who is willing to sacrifice the freedom of others to gain a little more personal convenience .,1,the author of this text supports gun control,stance,1,1,1,1,1,0,0
Having to jump through a bunch of hoops will likely deter anyone looking to obtain a weapon to commit a crime .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"The presence in the Columbine library of a well-trained , armed civilian attempting to stop the killers could hardly have made the situation worse .",1,the author of this text supports gun control,stance,1,1,1,0,1,1,1
That is EXACTLY what the 2nd Amendment is about : The ability to fight against the military and police when ( and they have already started ) they declare war on the people .,1,the author of this text supports gun control,stance,1,1,1,1,1,0,1
"Some of the countries with the strictest gun control laws , such as Mexico , have the highest levels of crime .",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"We need background checks , so that the mentally ill are not possessing and using guns .",0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
Three or four people shooting at each other ( there is no way for them to know whether or not the other teachers were the original shooter or not ; perhaps the teacher is a workplace shooter ) could unleash massive damage on the school and could kill dozens of people with stray bullets alone .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"If gun laws prevent shooters from gaining access to weapons , there will never be any risk to the public of a shooting and there will be no need to contemplate public shootouts .",0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
"In the past , even the most extreme gun-enthusiasts have acknowledged this point and have supported the very gun-free zones which they now deride .",0,the author of this text supports gun control,stance,0,0,1,0,0,0,0
Gun control laws are racist .,0,the author of this text opposes gun control,stance,0,0,0,0,0,0,0
The notes from the Constitutional Convention do not mention an individual right to a gun for self-defense .,1,the author of this text opposes gun control,stance,1,1,1,0,1,1,0
"If Congress had been persuaded by the slippery slope argument during the Brady Bill debate , since 1994 we would have allowed more than two million legally prohibited gun buyers to buy guns over-the-counter that were , instead , blocked by Brady background checks .",1,the author of this text opposes gun control,stance,1,1,1,0,1,1,1
The Canadian approach to firearms ownership has many attractions — the country ’s firearm homicide rate is one-sixth that of the U.S .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"“ Since car accidents kill more people every year then guns , why do n’t we ban cars ? ”",0,the author of this text opposes gun control,stance,0,1,1,1,1,1,1
"Adam Winkler , MA , JD , UCLA Constitutional Law Professor , stated "" The KKK began as a gun-control organization .",1,the author of this text supports gun control,stance,0,1,1,1,1,1,1
"Though it is already illegal for felons to own weapons , I feel it is slightly overzealous ( so people sometimes end up losing their right to keep & bear arms for a “ white collar ” crime such as , say , a fake insurance card vs a “ blue collar ” crime such as unjustified homicide ) .",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"If our laws had permitted that , I ’m pretty sure we would ’ve wised up the third or fourth time somebody drove one up to a school , parked in the school bus lane , and started lobbing cannon rounds into the gym , music room , cafeteria , and classrooms — while fending off law enforcement with a rain of fire from its three auxiliary machine guns .",0,the author of this text supports gun control,stance,1,1,1,0,0,0,0
"States in the south typically have very lax gun laws and often allow individuals to purchase many weapons , quickly and without a background check .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
Gun control laws would reduce the societal costs associated with gun violence .,0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
Most gun-owning parents take precautions to keep their children from finding and handling the family 's firearms .,1,the author of this text supports gun control,stance,1,1,1,1,1,0,1
"If I had my way on weapon control , I may improve the background check system ( specifically updating information about people ) , & make it illegal for a violent felon to own weapons or knowingly transfer weapons to violent felons .",0,the author of this text supports gun control,stance,0,1,0,0,0,0,0
Gun enthusiasts understand the benefit of large ammo feeders and wish to defend them because they recognize the advantage that such feeders give .,0,the author of this text opposes gun control,stance,1,1,1,0,0,1,0
"If people want to live in a society where they need to rely on their own guns to protect themselves , I suggest that they move to a lawless area — perhaps an area in the Sudan or Somalia — and try it for a while before they consign us to follow them .",1,the author of this text opposes gun control,stance,0,0,0,0,0,0,1
"Besides , if the right to bear arms supersedes LIFE ITSELF , then why was n’t it in the PREAMBLE ?",1,the author of this text opposes gun control,stance,0,0,1,1,1,0,0
"Also , recent studies show that states with right-to-carry laws are associated with substantially higher rates "" of aggravated assault , robbery , rape and murder .",1,the author of this text opposes gun control,stance,1,1,1,1,1,0,1
But what about the possibility that there are potentially violent individuals who are deterred from carrying guns by the illegality of doing so ?,1,the author of this text opposes gun control,stance,1,1,1,0,0,1,1
"It 's whether we can make it harder for criminals to get guns , and harder for an unbalanced person with murderous intent to kill so many people .",0,the author of this text supports gun control,stance,0,1,0,0,0,0,0
Pro-gun control advocates believe tougher gun laws could have potentially prevented these crimes .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
Results following England ’s self-proclaimed “ toughest gun control laws in the world ” are known and are not good ; crimes using banned weapons have risen .,1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
Crimes are often prevented by the deterrent effect of the possibility of victim gun possession .,0,the author of this text opposes gun control,stance,1,1,1,0,0,1,1
"I believe there is a lot less violence in the parking lot , as they say , because the potential perpetrator of a theft or an assault is thinking twice because someone might be carrying a gun .",1,the author of this text supports gun control,stance,1,1,1,0,1,0,1
The American people do n't want more gun control .,0,the author of this text opposes gun control,stance,0,0,0,0,0,0,0
"Because even if I had a gun , when taken by surprise by a mass attacker , I will most probably not be able to successfully counter .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,0
"Journalist John Stossel explained , "" Criminals do n't obey the law … Without the fear of retaliation from victims who might be packing heat , criminals in possession of these [ illegal ] weapons now have a much easier job ... As the saying goes , ' If guns are outlawed , only outlaws will have guns . ' """,0,the author of this text opposes gun control,stance,0,1,1,0,0,1,0
It is a terrible irony that the very same gun enthusiasts — many of whom see gun registration to be in infringement on personal liberty and fear an oppressive federal government — wish to impose what they fear onto others .,0,the author of this text supports gun control,stance,0,1,1,1,0,1,0
Gun laws and bans only limit access to guns for the people we NEED armed .,0,the author of this text opposes gun control,stance,0,1,0,0,0,0,0
"All of the evidence indicates that the Second Amendment , like other parts of the Bill of Rights , applies to and protects individual Americans .",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"“ Gun laws fail everywhere they ’re tried , ” insists Senator Marco Rubio , contradicting studies showing that states with strong gun safety laws suffer fewer shooting deaths .",1,the author of this text opposes gun control,stance,1,1,1,1,0,0,1
But this fact as well corroborates that any imposition of gun control does not address the issue of gun-related crime .,1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
Gun control laws give too much power to the government and may result in government tyranny and the government taking away all guns from citizens .,0,the author of this text opposes gun control,stance,0,0,0,0,0,0,0
"But Pandora ’s Box has long been open , and we continue to act like talking monkeys , so guns will be an unfortunate necessity for the foreseeable future .",1,the author of this text supports gun control,stance,1,1,1,0,1,0,1
Only law-abiding citizens are genuinely effected by further restrictions .,1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"Local communities need to be able to regulate guns , as needed , to deal with their violence .",0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
Violent crime goes down when more people legally carry guns : Right-to-carry laws have been on the rise in the U.S. since the early 1990s .,1,the author of this text supports gun control,stance,1,1,1,1,1,0,1
"The issue of gun control is n't even an issue in Britain , as pretty much everyone in the UK is for gun control .",1,the author of this text opposes gun control,stance,1,0,1,1,1,1,1
DO you really think that a person that is planning to rob a store or your home at gunpoint would go to a buisness to get a gun ?,1,the author of this text supports gun control,stance,1,1,1,0,1,0,1
"Legalized gun ownership means guns have a greater chance of falling into the hands of kids , potentially resulting in some deadly accidents .",0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
So if we ban guns violent crime will be greatly reduced .,0,the author of this text supports gun control,stance,0,1,0,0,0,0,0
"Both Switzerland and Finland require gun owners to acquire licenses and pass background checks that include mental and criminal records , among other restrictions and requirements .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
Gun control is based on the faulty notion that ordinary American citizens are too clumsy and ill-tempered to be trusted with weapons .,1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"Jonathan Lowy , Director of Legal Action Project at the Brady Center to Prevent Gun Violence , stated , "" These are weapons that will shred your venison before you eat it , or go through the walls of your apartment when you ’re trying to defend yourself … [ they are ] made for mass killing , but not useful for law-abiding citizens . """,0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
A person who wants to kill him/herself is unlikely to commit suicide with poison or a knife when a gun is unavailable .,1,the author of this text opposes gun control,stance,1,1,1,1,0,1,1
"In fact , the reduction of gun availability in our society would help alleviate the epidemic of gun violence that we are living in and would save many lives .",0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
As Marco Rubio often proclaimed during the primary campaign : “ My skepticism about gun laws is criminals do n’t follow the law . ”,0,the author of this text opposes gun control,stance,0,1,1,0,0,1,0
"Banning high-capacity magazines will not necessarily deter crime because even small gun magazines can be changed in seconds.The "" gun show loophole "" is virtually nonexistent because commercial dealers , who sell the majority of guns at shows and elsewhere , are bound by strict federal laws .",1,the author of this text supports gun control,stance,1,1,1,1,1,0,0
"Wayne LaPierre , Executive Vice President of the NRA , stated , "" The only thing that stops a bad guy with a gun is a good guy with a gun . """,0,the author of this text opposes gun control,stance,1,0,1,0,0,1,0
"If cars were like guns and served no purpose but to facilitate violence , then I would support as strict regulations of them as I propose on guns .",0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
"For example , actual “ assault-weapons ” are already largely banned , but control advocates rail against semi-automatic military-style weapons ( these are not actual assault weapons , they just look like them ) despite the fact that long guns of all types are used in an insignificant amount of crime ( less than 1 % of total gun crime ) and that those military-style weapons are generally less lethal than most hunting rifles ( they use smaller-caliber bullets designed to wound on the battlefield rather than the larger , more powerful bullets designed to kill much larger animals ) .",0,the author of this text opposes gun control,stance,1,0,1,0,0,1,0
So Gun control is not the answer .,0,the author of this text opposes gun control,stance,0,0,0,0,0,0,0
"The 2009 Brady Bill alone has led to the denial of over 150,000 gun buyer applications ; that ’s 150,000 fewer high-risk individuals with guns .",0,the author of this text supports gun control,stance,0,1,1,0,0,0,0
We are known throughout the civilized world as having the least control over who owns guns and having also one of the highest rates of death by guns so obviously we are doing something wrong .,1,the author of this text opposes gun control,stance,0,1,1,1,1,1,1
"So , we need to keep guns out of the hands of criminals .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"In 2003 , John Gilchrist , the legislative counsel for the Ohio Association of Chiefs of Police , testified , “ If 200,000 to 300,000 citizens begin carrying a concealed weapon , common sense tells us that accidents will become a daily event . ”",0,the author of this text supports gun control,stance,1,1,1,0,0,0,0
"This conversation is long overdue , and will hopefully result in some sane gun regulations being enacted .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
More gun control laws would reduce gun deaths .,0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
"You can talk all day about how crime has diminished where concealed carry is allowed , while it flourishes in Democrat blue cities where gun control is tightest .",0,the author of this text opposes gun control,stance,0,1,0,0,0,0,0
"If a single strong and comprehensive gun law could be passed through the federal legislature , we could massively reduce the number of laws on the books while making gun laws stronger .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
Prohibition did n’t stop alcohol … gun control wo n’t stop guns .,1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"4 In other words , just the fear of being shot is often enough to dissuade criminals from targeting certain homes .",1,the author of this text supports gun control,stance,1,0,1,1,1,0,1
“ I think there ’s more gun violence now because there are more guns .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"If gun control regimes can be enacted that prevent just the violent and unstable in society from getting weapons , then this has virtually the same effect as removing all weapons from society ; in both cases , gun crimes drop because people who are dangerous to society are denied weapons .",0,the author of this text supports gun control,stance,0,1,0,1,0,0,0
Gun ownership is an American tradition older than the country itself and is protected by the Second Amendment ; more gun control laws would infringe upon the right to bear arms .,0,the author of this text opposes gun control,stance,1,0,0,0,0,0,0
"The Berger comment is one of the very few from Constitutional law scholars that supports gun control , there are vastly more that oppose it ( and I can happily produce as many as you ’d like if you require ) .",1,the author of this text supports gun control,stance,0,0,0,1,1,1,1
"Yes it does , but for some reason gun advocates think that the right to bear arms is the only constitutional right that is virtually without limit .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
The Second Amendment does NOT guarantee the right of the individual to possess and carry weapons .,0,the author of this text supports gun control,stance,0,1,1,0,0,0,0
Abolishing guns because of reckless abusers makes as much sense as abolishing cars because some people drive drunk .,1,the author of this text supports gun control,stance,1,1,1,0,1,0,1
Less Suicides The big majority of suicides that occur in the United States are done with a gun .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"If guns were outlawed , criminals would still find ways to arm themselves .",1,the author of this text supports gun control,stance,1,0,1,1,1,1,1
"Put plainly , this argument is just not supported by the evidence ; there are numerous examples of shootings happening in locations with other armed individuals .",1,the author of this text opposes gun control,stance,1,0,1,1,1,1,1
Carrying a concealed handgun increases the chances of a confrontation escalating and turning lethal .,0,the author of this text supports gun control,stance,0,1,1,0,0,0,0
"In these terms , any gun control is viewed as a threat to liberty , and though the Constitution guarantees rights , it does not enforce anything .",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"The next time somebody argues that magazine size is irrelevant , then simply point out this logical fallacy in their argument : if the magazine is irrelevant to the weapon , then there is no reason for the gun-enthusiast to object to magazine limits .",0,the author of this text supports gun control,stance,0,1,1,0,0,0,0
More guns mean more gun massacres .,0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
"When they say this , you should simply tell them that not every gun owner is rational and that unrestricted gun ownership is the micro-equivalent to letting every country have nukes .",1,the author of this text opposes gun control,stance,0,0,1,1,1,1,1
"Through rigorous research and analysis of data , he has been able to show in previous books that increased gun possession can actually make people safer and reduce crime .",1,the author of this text supports gun control,stance,1,1,1,1,1,0,1
There is a good reason why guns have become the mass murderer ’s weapon of choice ; they are simply the most efficient way of getting the job done .,0,the author of this text supports gun control,stance,1,1,1,0,0,0,0
Carrying a concealed handgun could help stop a public shooting spree .,0,the author of this text opposes gun control,stance,1,1,1,1,0,1,1
"Significant majorities would like to see the assault weapons ban reinstated , mandatory licensing and training for all gun owners , significant waiting periods for purchases , and host of other restrictions ( there are more details here ) .",0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
"( Fear of a tyrannical , gun-seizing president is the reason many gun owners oppose firearms registration . )",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"According to the Law Center to Prevent Gun Violence and the National Physicians Alliance , states with the highest concentration of guns have nine times the amount of accidental gun deaths and "" 89 % of unintentional shooting deaths of children occur in the home — and most of these deaths occur when children are playing with a loaded gun in their parents ’ absence . """,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"Not only will the person possessing a gun save their own life , but also save everyone else ’s .",1,the author of this text supports gun control,stance,1,0,1,1,1,1,1
"While someone really determined to pull off a massacre could do it using a handgun , shotgun or even a musket if they had to , they ’d be pretty unlikely to kill anywhere near as many people as they would with , say , an AR-15 assault rifle .",0,the author of this text supports gun control,stance,0,0,1,1,1,0,0
"Oftentimes , criminals will dispose of their guns due to the risk that they pose and will require new weapons .",1,the author of this text opposes gun control,stance,1,1,1,0,1,0,0
"Yes , it is true that dangerous people could turn to other weapons if denied access to guns .",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"We found that across developed countries , where guns are more available , there are more homicides . """,0,the author of this text supports gun control,stance,0,1,1,0,0,0,0
"What is the purpose of gun control laws , other than to hinder the law abiding and offer an imaginary “ feel good ” solution to a human behavior problem ?",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"A 2013 survey of 15,000 current and retired police officers found that 91.3 % support the concealed carry of guns by civilians .",1,the author of this text opposes gun control,stance,1,1,1,0,0,1,0
You want to disarm the people over a handful of nuts who go on shootings ?,0,the author of this text opposes gun control,stance,0,0,0,0,0,1,0
"For residents of these neighborhoods , who are striving to make ends meet and improve their economic lot , the chaos and destruction wrought by gun violence is an enormous obstacle .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"Strict gun control laws do not work in Mexico , and will not work in the United States .",0,the author of this text opposes gun control,stance,0,0,1,0,0,0,0
"In the first week of 2016 , more Americans have been murdered by guns than died in Paris , and , in the coming months , about 10,000 more will die .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"It is completely unrealistic to hope that there will one day be no gun crime , but this does not mean that we should sit idle as an average of 25 fellow Americans are gunned down each day .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
Gun control laws would prevent citizens from protecting themselves from foreign invaders .,1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"Shortly after the massacre , John Hickenlooper , the Democratic governor of Colorado , suggested that stricter gun laws would not have stopped the shooter .",1,the author of this text supports gun control,stance,1,1,1,0,1,1,1
Someone bent on murder is not usually dissuaded by posted anti-gun regulations .,0,the author of this text opposes gun control,stance,1,0,1,0,0,0,0
Mr Sager is also right that guns cause violence and gun crime has nothing to do with culture or media depictions of violence .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"“ The 2nd Amendment guarantees the right to bear arms , thus gun control measures are unconstitutional . ”",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"Background checks will help keep guns out of the hands of people who should not have them : Americans for Responsible Solutions , supported by former U.S. Rep. Gabrielle Giffords and her astronaut husband Mark Kelly , advocates for background checks to prevent criminals , domestic abusers , and seriously mentally ill people from buying guns .",0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
The lax gun laws which allow easy access to powerful weapons to women also facilitates criminals getting weapons that they would be unable to get under sane regulations .,1,the author of this text opposes gun control,stance,1,1,1,1,1,0,0
"In the aftermath of the Sandy Hook shooting , many politicians have begun to pivot towards the idea that gun control needs to be strengthened — this effort is being led by Democrats , but even many Republicans have begun to buck their longstanding deference to the NRA and gun lobbyists .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
How many senseless acts of violence in our streets or tragedies in our communities will it take to get our nation to stop caving to special interests like the NRA when people are dying ?,0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
This is because that state considers any limitation of guns to be unconstitutional .,0,the author of this text opposes gun control,stance,0,0,1,0,0,0,0
"There are some 260 people every day who are injured or killed by gun violence , so it 's very important that we ban assault weapons , for starters , but there are other steps that need to be taken quickly .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
"According to the National Rifle Association and its allies , since gun laws are directed at criminals , who of course pay no attention to any laws ( that ’s why they ’re called criminals ) , gun control ca n’t possibly be effective , except in making it harder for law-abiding citizens to have guns to defend themselves .",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"Which sports , exactly , require an assault weapon that fires 850 rounds per minute ?",0,the author of this text supports gun control,stance,1,1,1,1,0,0,0
Proponents cite the only obvious use for an assault rifle — killing people — and defend ammunition limitations as a compromise that will save lives .,0,the author of this text supports gun control,stance,0,0,1,0,0,0,0
"Armed civilians are unlikely to stop crimes and are more likely to make dangerous situations , including mass shootings , more deadly .",1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
56 % of all adults surveyed approve of assault weapon bans and 53 % of all adults surveyed approve of high-capacity magazine bans .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
This article is dishonest in that it lumps all gun control advocates ( and gun owners ) into one extreme position .,1,the author of this text supports gun control,stance,1,1,1,1,0,1,1
"According to a Mar. 10 , 2016 Lancet study , most state-level gun control laws do not reduce firearm death rates , and , of 25 state laws , nine were associated with higher gun death rates .",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"Especially when you point out that the gun itself only proves their fear , weakness and sense of inadequacy .",1,the author of this text opposes gun control,stance,0,1,1,1,0,1,1
"Ergo , gun control is tantamount civilian or citizen disarmament , it can not and does not affect anyone else .",0,the author of this text opposes gun control,stance,0,0,0,0,0,0,0
"Widely supported gun bans do n’t deter crime : The Federal Assault Weapons ban , signed by President Bill Clinton in 1994 , expired and has not had enough support to be renewed .",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"In the past , evil governments have used gun registries as way of locating and seizing privately owned weapons .",1,the author of this text supports gun control,stance,1,1,1,1,1,1,1
"David Frum , Daily Beast and CNN contributor , stated , "" American children under age 15 were nine times more likely to die of a gun accident than children in other advanced wealthy countries … About 200 Americans go to emergency rooms every day with gunshot wounds . """,0,the author of this text supports gun control,stance,0,1,1,0,0,0,0
Allowing anyone to arm themselves with deadly weapons like handguns is immoral and a form of lawless vigilantism that tacitly validates the extrajudicial execution of alleged offenders ( a form of murder ) .,0,the author of this text supports gun control,stance,0,0,0,0,0,0,0
Police forces are groups of organized and trained professionals that uphold order in society — it is their job to ensure that society does not devolve into a state where every person needs a gun .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
Statistics show that states with more guns also have more homicides .,1,the author of this text opposes gun control,stance,1,1,1,1,1,1,1
