task,premise,entailment,hypothesis,validation_source,base_nli,large_nli,base_debate,large_debate,llama,base_modern,large_modern
explosives,Five border police officers were injured when a bomb exploded near their convoy in Spin Boldak on March 25.  The perpetrator of the attack is unknown.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,Fifteen passengers were killed when members of the Communist Party of Nepal-Maoists (CPN-M) opened fire on a civilian bus.  Among those killed were seven soldiers and one police officer.  The attack was condemned by human rights groups.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,"Timed explosive devices destroyed 12 cars belonging to diplomats from the Soviet Union, Czechoslovakia, Bulgaria, Hungary, Syria and to a representative from the PLO.  The explosions occurred simultaneously in different suburbs throughout Athens.  The leftist Social Resistance group claimed responsibility.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"A Socialist leader was attacked by nearly forty men and shot to death.  The victim's party, the Socialist Unity Centre of India, blames the Communist Party of India.  Police have not identified the attackers.  The victim's son was also injured in the attack.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
fire or firebomb,The car of a policeman of the DICCILEC (former air and border police) was burned by a fire bomb.  The car was parked outside the policeman's home in Espelette.,3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,1,3,2,3,3
explosives,Three car-bomb explosions took place outside the offices of right-wing newspapers (L'Aurore and Minute) and the Jewish Social Fund.  French newspapers received a communique on August 5 with a PFLP signature claiming responsibility in the name of Commando Muhammad Boudia (an Algerian member of the PFLP who was killed in Paris in 1973 when his car exploded; he was allegedly killed because he was a leader in the BSO).  Two persons were slightly injured by the explosions.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"Mastat Sulong, a Muslim cleric, was shot at by unknown gunmen, as he drove to deliver a morning sermon at a mosque in tambon Toh Deng.  Eight bullets were fired at Sulong's vehicle, but none caused any damage.  The gunmen fired at him from a motorcycle.  Authorities believe that Sulong was targeted because of his cooperation with anti-terrorism officials in the area.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"A settler shot a Palestinian from Beit Ommar, injuring him.  The attack took place on the road to Hebron.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,"On July 20, 2005, members of the Liberation Tigers of Tamil Eelam (LTTE) attacked the home of a former Tamil Eelam Liberation Organization activist in the Vavuniya district of Sri Lanka. The grenade attack damaged the home but no casualties were reported.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,2,1
explosives,"A suicide car bomber crashed his vehicle into a police checkpoint in Ramadi, killing himself and wounding eleven people, including four policemen.  Attacks on police are frequent in Iraq.The Islamic State of Iraq claimed responsibility for the attack, stating that the operation was part of the Plan of Dignity campaign.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,The Spanish bank Banco Bilbao Vizcaya was bombed in Bayonne.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
fire or firebomb,"Armed insurgents set fire to the Ban Khok Sato village school in southern Thailand's Pattani province.  During the attack, a local boy opened fire on the perpetrators killing them.  He was presented with an award for his actions.Islamic insurgents in the far south of Thailand continue to target civilians, educators, police, military, as well as religious and community leaders in a campaign of drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004 and more than 2000 people have perished from the violence.",3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,2,2,2,2,2
explosives,"Seven police personnel and two civilians were killed, with 95 wounded, when a suspected Tamil Tiger suicide bomber rammed his motorcycle into a police bus in the heart of Colombo. The attack occurred close to the Hilton Hotel, opposite a Buddhist temple and also not far from the office of President Mahinda Rajapaksa. The police bus was carrying anti-riot squad police personnel. The military blamed the Liberation Tigers of Tamil Eelam (LTTE) for the attack, which occurred hours before President Rajapaksa was to swear in.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,2
explosives,A cleaning woman found a bomb on top of an air conditioner of the Pan Am office in Izmir.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,3,1
explosives,One policeman was wounded in a central neighborhood of Kirkuk when an improvised explosive device hit his patrol.The mixed nature of the central part of the city and the existence of more than one militant group there makes difficult to determine responsibility for the attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"A Muslim man was shot and killed by unidentified men on a motorcycle in southern Thailand's turbulent Narathiwat province. Drive-by shootings are common in Thailand's three southernmost provinces, of which Narathiwat is one. Islamic insurgents in the far south of Thailand continue to target civilians, educators, police, military, as well as religious and community leaders in a campaign of drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004 and more than 2000 people have perished from the violence.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,"A roadside bomb detonated near a police patrol, killing one policeman and wounding five others. Attacks on police are frequent in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,Two human rights leaders were kidnapped in Kirkuk. Their bodies were found shot in the head and the chest the following day.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,Two Quds-1 rockets were fired at the Neve Deqalim settlement. No damage was reported. The military wing of the Islamic Jihad Movement claimed responsibility for the attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,2,1,1,1,2,1,1
firearms,Hamas claimed responsibility for the shooting of a truck driver in the southern part of the settlement Gush Katif in Gaza.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,Two mortars were fired from inside the Gaza Strip and exploded in Israeli territory.  No one was hurt.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A grenade was thrown at a police vehicle in Srinagar on September 25.  A female police officer, Gulshan Akhtar, was killed by the blast.  Three other officers and three civilians were injured.  The police officers were from the Ram Bagh women's police station.  The perpetrators of the attack have not been identified.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,Gunmen shot and killed a policeman in Samarra.  Attacks on police are frequent in Iraq.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"Five terrorists who had infiltrated from Egypt were apprehended as they planted an explosive device near the Kings Hotel in Jerusalem.  The five were recruited into the PLO in August of this year and had been provided explosives, fuses and detonators by the PLO.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"FEDERAL REPUBLIC OF GERMANY.  A bomb exploded at the Yugoslav Cultural Office in Dortmund.  The blast caused $22,000 damage to the front of the building.  No injuries were reported.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,An explosion occurred in a carpentry workshop in Radusa in the Polog Valley.  There were no casualties.  Macedonian police are blaming Albanian terrorists.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"Police arrested five for planting bombs on railway tracks west of Al-Alamein.  The group confessed to working for Libyan intelligence, which had given them military training.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,An Israeli was wounded when Palestinians fired at his car while he was driving through the village of Huwwarah.  The man lived in a nearby settlement in the West Bank.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,"Seven Nicaraguan counterrevolutionaries, five men and two women, were arrested in Costa Rica for commandeering a boat that is the property of the Nicaraguan Government.  The hijackers used FAL rifles and hand grenades to threaten the boat's captain and crew.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,A bomb placed by El Poder Cubano in the French National Tourist Office in New York City was found and removed by police.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,Three Iraqi policemen were wounded when hand grenades were thrown at a police station in Basra.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,Two people were killed and another thirty-five were injured in a grenade attack on a mosque in Chaman near the Pakistan-Afghanistan border.  The assailants escaped.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,Shots were fired at an Israeli car between the Tapuah junction and Ariel.  No one was hurt.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,1,2
firearms,A policeman was killed by gunmen who opened fire on him in Baghdad. Attacks on police are frequent in Iraq.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"Twenty-five people were killed and seven injured by militants who surrounded a marriage party at Chakmari and opened fire.  They spared three women, including the bride and two children.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"Two gunmen riding a motorcycle assassinated a police intelligence officer.  The officer was leaving his home in the city of Al-Najaf, south of Baghdad when the gunmen attacked.  Attacks on police are common in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"The Ambassador to France from the United Arab Emirates, Khalifa Abdel Aziz Al-Mubarak, was shot and killed as he left his Paris home. A lone gunman fired one shot into the ambassador's head.  A call to a Paris newspaper claimed the assassination in the name of the Arab Revolutionary Brigades because of links his country has with the United States. The group is believed linked to Abu Nidal.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,Unidentified assailants tossed a hand grenade at a mosque in Doblai in Lower Jubba Region.  The attack left two dead and five others wounded.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A small, low-intensity explosive device detonated at a petrol station on the A-3 highway, which leads to the Mediterranean city of Valencia.  This was one of five explosive attacks on petrol stations throughout Madrid on this evening.  An anonymous caller representing the Basque Fatherland and Freedom (ETA) warned of the devices prior to their detonation.  Six people were slightly injured in the attacks, though it is impossible to disaggregate the numbers for each individual attack. The attacks came as residents were traveling away from the city for a holiday weekend.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,Assistant village headman Abdulloh Mahama was shot by a motorcycle gunman at a Rueso district teashop. He later died at the Rueso hospital. Police believe the gunman was a Muslim militant who had tried to kill Abdulloh last month.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A suicide bomber drove his vehicle packed with explosives into a police minibus carrying police officers to work. The attack happened at a checkpoint near Tikrit. Nine officers were killed and seven wounded in the attack.  The attack was claimed by the group led by Abu Musab al-Zarqawi, Tanzim Qa'idat Al-Jihad fi Bilad al-Rafidayn.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A suicide car bomber blew himself up near the United Nations headquarters in Baghdad killing himself and a security guard and wounding nineteen people, a month after a huge truck bomb devastated the building.  Sami Muhammad Ali Said Jaaf, a lieutenant of Abu Musab Zarqawi, was taken into custody in mid-January 2005.  Jaaf admitted to being involved in over thirty-two bombings in Iraq, including this one.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,A bomb exploded near a group of police as they tried to defuse another bomb in Baqubah. The first bomb appeared to have been a decoy used to lure the police to the location. This is a frequent tactic used by insurgents to target police. The attack killed one policeman and wounded three others.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"Gunmen shot and killed Hatim Ghadban, a former member of Saddam Hussein's Baath party, in Amarah.  Attacks on members of Hussein's former regime are frequent in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"The Mosul Bureau Chief of the Iraqi newspaper As-Safeer, Firas Maadid, was killed by gunmen who opened fire on him outside his home in Mosul. Journalists have become an increasingly frequent target of insurgent attack in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"The head of the Iraqi National Accord Movement in Najaf, the party of former Prime Minister Allawi, was the target of an assassination attempt on the road from Najaf to Baghdad. Gunmen opened fire on the car of Abd-al-Al Wahid al-Isawi as he was driving to Baghdad to attempt a meeting of the Iraqi National Accord. Al-Isawi was wounded in the attack.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,A roadside bomb targeting civilians at Beirut Square in Baghdad killed one civilian and wounded two others.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"Gunmen opened fire on the car of a police colonel in Baqubah as he drove to work, wounding him and his bodyguard. Attacks on police are frequent in Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
firearms,"An ustaz, a teacher of Arabic, at an Islamic school was shot and killed at a market in southern Thailand's turbulent Yala province. His wife was severely injured in the attack. The ustaz had been linked with insurgents in the past but had recently switched support to the government. The attackers shot at the couple from a car. This attack follows the shooting death of another teacher from the same school on June 12. Islamic insurgents in the far south of Thailand continue to target civilians, educators, police, military, as well as religious and community leaders in a campaign of drive-by shootings, arson, and bomb attacks aimed at destabilizing society and pressing for independence from Thailand. The current insurgency has been underway since January 2004 and more than 2000 people have perished from the violence.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,3,2
explosives,"A roadside bomb detonated near a police patrol in Al-Mahmudiyah, south of Baghdad. Two civilians were killed and two injured in the attack. Police in Iraq are the frequent target of insurgent attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,A parked car bomb killed two people.  The attack occurred in downtown Hawija.  Hawija is forty five miles south of Baghdad.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"Two American nationals, their Afghan interpreter and one policeman were killed when police tried to defuse a remote-controlled mine in the Nad-e Ali District of Helmand Province.  The security commander of the region, Maj. Mohammad Nader,  was also seriously wounded in the explosion. Reports identified the Americans killed only as advisors.  The Taliban claimed credit for the attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,A Qassam rocket was fired at an Israeli community in western Negev. The rocket failed to explode and there were no casualties or damage.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,2,1,1,1,2,1,1
explosives,"A roadside bomb detonated near a police patrol, wounding four police officers and four civilians. The attack occurred in Baghdad. Attacks on police are frequent in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"In Baghdad's Baladyat district, a bomb was placed under a minibus. When the bomb was detonated it hurt twelve people and killed two.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,Gunmen shot and killed an army brigadier general who worked under Saddam Hussein and another person in Fallujah.  Attacks on members of Hussein's former regime are frequent in Iraq.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,"A roadside bomb exploded near a minibus carrying employees in Iraq's Industry Ministry in Baghdad, killing six people and wounding 12 others. The bomb just missed a bus carrying oil ministry employees. Attacks on government employees are frequent in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,Two grenades were fired at a Srinagar school during its inauguration at which Jammu and Kashmir Chief Minister Dr. Farroq Abdullah was officiating.  He escaped unharmed.  No others were wounded.  A group calling itself al-Madina claimed the attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,2,2
explosives,YUGOSLAVIA (FORMER).  A grenade exploded after being thrown into the yard of the Bulgarian Embassy.  There were no injuries or damage caused by the grenade which landed in the grass.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,A grenade was thrown at the US Embassy in Belgrade late at night. There were no injuries and only minor damage.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"An ex-ETA member who had been in contact with the Spanish consulate in Hendaye regarding returning to Spain under an amnesty program, was killed when his car exploded.  It is uncertain whether he was killed by members of the Anti-Terrorist Liberation Group (GAL) or ETA.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,Insurgents detonated an explosive device near an oil pipeline used to ship fuel from Bayji to a power station in Baghdad. The attack occurred in Samarra and caused significant damage to the pipeline. The attack was likely to affect power supplies in Baghdad. Oil pipelines in Iraq are the frequent target of insurgent attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,Two Russian Embassy cars were attacked by gunmen on Baghdad's airport road. There were no reports of casualties or injuries. This was one of several attacks on foreign diplomats in Iraq in recent days.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,Guerrillas in a speeding car threw dynamite at the Spanish embassy in Lima.  No one was injured.  Sendero Luminoso is suspected.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,Gunmen shot and killed a police intelligence officer in west Baghdad.  Attacks on police are frequent in Iraq.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
firearms,"Gunmen opened fire on the convoy carrying Governor Ali Radi al-Haidari, the governor of Baghdad.  Al-Haidari was killed in the attack, along with one of his bodyguards and a total of ten people (including two bodyguards) were injured. Abu Musab al-Zarqawi's group Tanzim Qa'idat Al-Jihad fi Bilad al-Rafidayn claimed responsibility for the attack.On January 11, US forces detained six suspects in connection with the incident. The suspects were arrested during raids and were based on tips from local residents.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A roadside bomb targeting a police patrol in central Baghdad exploded, killing a civilian.  Attacks on police are frequent in Iraq.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,Three people were wounded when an improvised explosive device was detonated near the headquarters of the peoples councils. The organization is a government sponsored social and tribal gathering that supports security in their areas.The attack took place in Mualmeen neighborhood of Baqubah.Al-Qaeda is first target that this organization is inclined to identify and eliminate and therefore it is likely that Al-Qaeda is responsible for the attack.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"An unidentified individual threw a resonance bomb at the building that houses the Association of Turkish Businessmen and Industrialists (TUSIAD) in the Taksim neighborhood of Istanbul.  One man, Deniz Uyan, who was leaving the building at the time of the blast was treated for shock.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A car bomb exploded near a riot police barracks in Furiani, on the island of Corsica.  The blast caused extensive damages, but there were no reported casualties.  No group has claimed responsibility for the attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,Three people were killed and fifteen wounded when a car bomb exploded near a group of pedestrians in an industrial section of Kirkuk. The blast was followed by an armed attack on police responding to the blast.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,Several shots were fired into the West German consulate building in Rotterdam.  Only minor damage resulted and no injuries. Members of the Universal Liberation Front arrested in mid-December by Dutch police admitted staging the armed attack.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"A suicide bomber attacked the headquarters of the 1920s Revolution Brigade, a loose confederation of former Saddam Hussein loyalists who once fought against U.S. forces.  Now, however, they are fighting alongside U.S. forces against al-Qaeda elements in their neighborhood.  This same phenomenon--Sunni tribes that once fought U.S. forces but now fight with U.S. forces--has occurred throughout much of Iraq.  As these groups have become more visible, though, insurgents have begun to target them.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"A car bomb targeting a police patrol killed three civilians and wounded seventeen.  The attack occurred in Tikrit.  Tikrit is one hundred and ten miles north of Baghdad.  As a result of the attack, there is a curfew on the city.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"Coordinated bomb attacks were carried out against three U.S.-Turkish business concerns in Istanbul and Ankara by the left-wing group Dev Sol.  In each attack groups of five armed terrorists tied up office employees, spray-painted slogans, and set off explosives in unoccupied areas of the targeted buildings.  While property damage was extensive, there were no casualties.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,2,1,1,1
explosives,"A suicide bomber detonated his vehicle as he approached a police and army checkpoint north of Baghdad, The attack killed two policemen and two civilians.  No group claimed responsibility for the attack.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"Police discovered the bodies of a Christian woman and her brother in Basra, both of which were riddled with bullets.  Attacks on Christians occur occasionally throughout Iraq.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,"Five suicide bombings (although one targeted a military base) took place in Baghdad on a single day, killing a total of twenty-six people and wounding at least thirty. The blasts were all claimed by the group affiliated with Abu Musab al-Zarqawi, Tanzim Qa'idat Al-Jihad fi Bilad al-Rafidayn. All of the blasts also involved checkpoints manned by soldiers or police officers, who have increasingly been the target of insurgent attacks. The first four attacks occurred within 90 minutes of each other, while the final attack occurred somewhat later.  The third bomb exploded at a checkpoint southwest of Baghdad International Airport, killing two Iraqi security guards and wounding three others.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
explosives,"An explosive device detonated in a karaoke bar in Palopo, on the island of Sulawesi, killing four people and injuring three others.  Authorities believe that the bomb was left under a table and the perpetrator was not among the victims.  An incident like this is rare in the Palopo area, as the region is generally peaceful.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,Two policemen in civilian clothes were assassinated by gunmen who opened fire on them in Baghdad.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,A bomb exploded at the base of the front wall of the USIS Thomas Jefferson Cultural Center in Quezon City.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"Grenade attacks were carried on the Lhoksukon Police Sector Base, the Dewantara subdistrict head's office, and the Cunda Traffic Police Post. These attacks were attributed to civilian rebels, possibly part of the Free Aceh Movement (GAM).",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,3,2
explosives,"A car bomb exploded near al Ulwiyyah Maternity Hospital in central Baghdad, killing four people and wounding fourteen others.  Attacks on hospitals and health professionals are frequent in Iraq, as militants attempt to disrupt the country's reconstruction.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"After living in Qatar for three years, former Chechen president Zelimkahn Yandarbiyev, whose extradition from Qatar had been demanded by Russia, was killed and his son wounded when a blast targeted their car.  This is the first such incident in Qatar which often hosts rebel figures.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,"The head of Wardag Province's tribal and border affairs department, Haji Torgul, was killed by Taliban gunman.  Local officials stated that Torgul was a target for assassination because he was a former Jihadi leader who was now working for the government.  The Taliban claimed credit for the killing.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,Four people were hospitalized when a bomb went off at the entrance to the Bank of London in Lima.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,Two gunmen who had just attacked the Chilean ambassador's official residence and embassy opened fire on the Salvadoran embassy in the same Bogota neighborhood.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,4,2
explosives,"A car bomb exploded in Kirkuk near a group of police and medics responding to a roadside bomb attack on the convoy of KirkukÕs Municipal Council Head, Jamal Shakkur. The explosion injured five people, including a civilian, a policeman, and an explosives expert.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"One person was killed and five were injured in a suicide bombing in the town of Boralesganuwa, six miles east of Colombo. According to police officials, the attack targeted the Minister of Agriculture, Maithripala Sirisena who escaped unhurt. The deputy Agriculture Minister was among the injured.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,A Syrian chief warrant officer and his son were kidnapped and murdered by gunmen in Tripoli.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,A bomb placed in a vehicle belonging to the Red Cross exploded in Zambia as the driver of the truck opened the door.  Two people were killed and thirteen others injured.  Authorities accused the government of South Africa of involvement.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
fire or firebomb,Basque police report that three hooded individuals set fire to a city bus belonging to the tram company in the Beriyo district of San Sebastian.  The bus was completely burned out.,3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,2,3,3
firearms,"Gunmen attacked the vehicle of Mujwal Mehdi, the director general of the Diyala Municipality, as he was driving in Baqubah. The attack wounded two of Mehdi's guards. Government officials are the frequent target of insurgent attack.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
knives & sharp objects,Three men slashed the face of a Norwegian Jewish woman living in Assisi in an apparent anti-Semitic attack.,4,This text describes a knife or sharp object attack.,gpt-4o-2024-11-20,4,4,4,4,4,4,4
explosives,"A suicide bomber blew himself up in front of the Metzudat David Hotel, formerly the Hilton, in Jerusalem's Mamila neighborhood, injuring five people. The Palestinian Islamic Jihad's (PIJ) military wing, the al-Quds Squads, claimed the attack, aimed at a security target inside the hotel but carried out prematurely.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
explosives,"A bomb blast occurred in the compound of the session court in Sukkur, injuring thirteen people.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"A convoy of vehicles carrying supplies for US forces was attacked by gunmen. At least one driver, Sami Nazar Ali, was killed in the attack. The attack occurred north of Baghdad.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
fire or firebomb,Israeli customs warehouses were set fire to in East Jerusalem. The Democratic Front for the Liberation of Palestine claimed responsibility.,3,This text describes an arson attack.,gpt-4o-2024-11-20,3,3,3,3,3,3,3
explosives,"On December 27, 2009 a bomb placed inside a backpack exploded at the Ethniki Asfalistiki building in Athens. The building houses the National Insurance Company and a branch of the National Bank of Greece. The blast damaged the building but caused no casualties.The Conspiracy of Fire Cells of Thessaloniki-Athens and previously unheard of Renegade Terrorist Group claimed responsibility for the attack in a call alerting authorities to the presence of the bomb.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,"Gunmen kidnapped a television journalist, Raeda Wazzan, who works for Al-Iraqiyah Television and her 10-year-old daughter in Mosul.  On February 22, the daughter was released, but the journalist remained in captivity.  Wazan was found dead, shot in the head, on February 25 in eastern Mosul.  The group affiliated with Abu Musab al-Zarqawi, Tanzim Qa'idat Al-Jihad fi Bilad al-Rafidayn,  claimed responsibility for the attack.",2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,4
explosives,Four crude bombs went off near the residence of the Chief Justice on Captain Mansur Ali-Sarani.  This was one of many explosive attacks that took place during an anti-government protest in Dhaka on this day.  The protest was led by the Awami League party.,1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,1,1,1
firearms,Unknown assailants opened fire on a Corsican police barracks near Ajaccio overnight without causing any casualties.  The attack left ten bullet holes in the building's faade and a nearby police vehicle.  A neighboring apartment was also hit.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
explosives,"On January 22, unidentified assailants bombed a gas pipeline in Bokulia Chariali.",1,This text describes an explosives attack.,gpt-4o-2024-11-20,1,1,1,1,2,1,1
firearms,Unidentified gunmen shot dead two men in Menyalan in Rajouri.,2,This text describes a firearms attack.,gpt-4o-2024-11-20,2,2,2,2,2,2,2
